Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A8I5ZPS7	unreviewed	A0A8I5ZPS7_RAT	Interleukin-12 subunit alpha (IL-12A)	Il12a IL12A	Rattus norvegicus (Rat)	215
A0A8I5ZQE2	unreviewed	A0A8I5ZQE2_RAT	Pleiotrophin (PTN)	Ptn	Rattus norvegicus (Rat)	183
A0A8I5ZU27	unreviewed	A0A8I5ZU27_RAT	C-C motif chemokine ligand 21	Ccl21	Rattus norvegicus (Rat)	122
A0A8I5ZXP8	unreviewed	A0A8I5ZXP8_RAT	Interleukin-18 (IL-18)	Il18	Rattus norvegicus (Rat)	194
A0A8I6A1G8	unreviewed	A0A8I6A1G8_RAT	Protein-glutamine gamma-glutamyltransferase 2 (EC 2.3.2.13) (EC 3.5.1.44) (Isopeptidase TGM2) (Protein-glutamine deamidase TGM2) (Protein-glutamine dopaminyltransferase TGM2) (Protein-glutamine histaminyltransferase TGM2) (Protein-glutamine noradrenalinyltransferase TGM2) (Protein-glutamine serotonyltransferase TGM2) (Tissue transglutaminase) (Transglutaminase-2)	Tgm2	Rattus norvegicus (Rat)	697
A0A8I6A271	unreviewed	A0A8I6A271_RAT	C-C motif chemokine	Ccl19	Rattus norvegicus (Rat)	114
A0A8I6A2S5	unreviewed	A0A8I6A2S5_RAT	Heparan sulfate proteoglycan 2	Hspg2	Rattus norvegicus (Rat)	4402
A0A8I6A4V6	unreviewed	A0A8I6A4V6_RAT	Laminin subunit alpha 5	Lama5	Rattus norvegicus (Rat)	3699
A0A8I6A5V4	unreviewed	A0A8I6A5V4_RAT	Multifunctional fusion protein [Includes: Interleukin-1; Interleukin-1 beta]	Il1b IL1B	Rattus norvegicus (Rat)	282
A0A8I6A642	unreviewed	A0A8I6A642_RAT	furin (EC 3.4.21.75) (Dibasic-processing enzyme) (Paired basic amino acid residue-cleaving enzyme)	Furin	Rattus norvegicus (Rat)	857
A0A8I6A897	unreviewed	A0A8I6A897_RAT	Fibrillin 1	Fbn1	Rattus norvegicus (Rat)	2813
A0A8I6A920	unreviewed	A0A8I6A920_RAT	Bone morphogenetic protein 7	Bmp7	Rattus norvegicus (Rat)	364
A0A8I6A9V4	unreviewed	A0A8I6A9V4_RAT	Tubby-like protein	Tulp3	Rattus norvegicus (Rat)	451
A0A8I6ADM6	unreviewed	A0A8I6ADM6_RAT	Protein Wnt	Wnt3a	Rattus norvegicus (Rat)	352
A0A8I6AG89	unreviewed	A0A8I6AG89_RAT	Tenascin C	Tnc	Rattus norvegicus (Rat)	2019
A0A8I6AGS7	unreviewed	A0A8I6AGS7_RAT	Elastin microfibril interfacer 1	Emilin1	Rattus norvegicus (Rat)	999
A0A8I6AHK0	unreviewed	A0A8I6AHK0_RAT	Periostin	Postn	Rattus norvegicus (Rat)	838
A0A8I6AIS3	unreviewed	A0A8I6AIS3_RAT	Tenascin C	Tnc	Rattus norvegicus (Rat)	1564
A0A8I6AK89	unreviewed	A0A8I6AK89_RAT	Periostin	Postn	Rattus norvegicus (Rat)	835
A0A8I6AK95	unreviewed	A0A8I6AK95_RAT	Protein Wnt	Wnt10b	Rattus norvegicus (Rat)	173
A0A8I6AMD5	unreviewed	A0A8I6AMD5_RAT	Slit guidance ligand 2	Slit2	Rattus norvegicus (Rat)	1542
A0A8I6AMU5	unreviewed	A0A8I6AMU5_RAT	Lipopolysaccharide-binding protein (LBP)	Lbp	Rattus norvegicus (Rat)	487
A0A8I6AN69	unreviewed	A0A8I6AN69_RAT	Protein Wnt	Wnt3	Rattus norvegicus (Rat)	367
A0A8I6ARC1	unreviewed	A0A8I6ARC1_RAT	Tenascin C	Tnc	Rattus norvegicus (Rat)	2202
A0A8I6ASH2	unreviewed	A0A8I6ASH2_RAT	Heparan sulfate proteoglycan 2	Hspg2	Rattus norvegicus (Rat)	4387
A0A8I6ATC2	unreviewed	A0A8I6ATC2_RAT	Galectin	Lgals3	Rattus norvegicus (Rat)	278
A0A8I6G7Y9	unreviewed	A0A8I6G7Y9_RAT	Fibrillin 1	Fbn1	Rattus norvegicus (Rat)	2861
A0A8I6GAT6	unreviewed	A0A8I6GAT6_RAT	Protein-glutamine gamma-glutamyltransferase 2 (EC 2.3.2.13) (EC 3.5.1.44) (Isopeptidase TGM2) (Protein-glutamine deamidase TGM2) (Protein-glutamine dopaminyltransferase TGM2) (Protein-glutamine histaminyltransferase TGM2) (Protein-glutamine noradrenalinyltransferase TGM2) (Protein-glutamine serotonyltransferase TGM2) (Tissue transglutaminase) (Transglutaminase-2)	Tgm2	Rattus norvegicus (Rat)	685
A0A8I6GE94	unreviewed	A0A8I6GE94_RAT	Platelet-activating factor acetylhydrolase (EC 3.1.1.47)	Pla2g7	Rattus norvegicus (Rat)	410
A0A8I6GHT4	unreviewed	A0A8I6GHT4_RAT	Tenascin C	Tnc	Rattus norvegicus (Rat)	1928
A0A8I6GJM5	unreviewed	A0A8I6GJM5_RAT	Hyaluronidase (EC 3.2.1.35)	Hyal1	Rattus norvegicus (Rat)	462
A0A8I6GMQ6	unreviewed	A0A8I6GMQ6_RAT	CD44 antigen (Extracellular matrix receptor III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (Phagocytic glycoprotein I)	Cd44	Rattus norvegicus (Rat)	782
A0A8J8XQI9	unreviewed	A0A8J8XQI9_RAT	Carboxylic ester hydrolase (EC 3.1.1.-)	Bche	Rattus norvegicus (Rat)	603
A0A8L2PYZ4	unreviewed	A0A8L2PYZ4_RAT	Phospholipase A2 (EC 3.1.1.4)	Pla2g1b	Rattus norvegicus (Rat)	145
A0A8L2Q8D2	unreviewed	A0A8L2Q8D2_RAT	Lipoprotein lipase (LPL) (EC 3.1.1.34)	Lpl	Rattus norvegicus (Rat)	525
A0A8L2QAC8	unreviewed	A0A8L2QAC8_RAT	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (EC 3.1.4.1) (EC 3.6.1.9) (Alkaline phosphodiesterase I) (Dinucleoside polyphosphatase) (Nucleotide diphosphatase) (Nucleotide pyrophosphatase) (Phosphodiesterase I beta) (Phosphodiesterase I/nucleotide pyrophosphatase 3)	Enpp3	Rattus norvegicus (Rat)	875
A0A8L2QJJ3	unreviewed	A0A8L2QJJ3_RAT	Apolipoprotein B	Apob	Rattus norvegicus (Rat)	4749
A0A8L2QJL0	unreviewed	A0A8L2QJL0_RAT	Midkine (MK)	Mdk	Rattus norvegicus (Rat)	142
A0A8L2UH95	unreviewed	A0A8L2UH95_RAT	Platelet-derived growth factor subunit A (Platelet-derived growth factor A chain) (Platelet-derived growth factor alpha polypeptide)	Pdgfa	Rattus norvegicus (Rat)	212
A2RUV9	reviewed	AEBP1_RAT	Adipocyte enhancer-binding protein 1 (AE-binding protein 1) (Aortic carboxypeptidase-like protein)	Aebp1 Aclp	Rattus norvegicus (Rat)	1128
A6I0Z0	unreviewed	A6I0Z0_RAT	Dickkopf WNT signaling pathway inhibitor 1 (Dickkopf-like protein 1)	Dkk1 DKK1 LOC100912050	Rattus norvegicus (Rat)	270
A6IE38	unreviewed	A6IE38_RAT	Protein Wnt	Wnt2	Rattus norvegicus (Rat)	360
A6IIY7	unreviewed	A6IIY7_RAT	C-C motif chemokine ligand 21 (Chemokine (C-C motif) ligand 21b (Serine))	Ccl21 Ccl21b	Rattus norvegicus (Rat)	133
A6IKF9	unreviewed	A6IKF9_RAT	Leukemia inhibitory factor	Lif	Rattus norvegicus (Rat)	202
A6ITD2	unreviewed	A6ITD2_RAT	Protein Wnt	Wnt4	Rattus norvegicus (Rat)	351
A6JJ35	unreviewed	A6JJ35_RAT	Platelet-activating factor acetylhydrolase (EC 3.1.1.47)	Pla2g7	Rattus norvegicus (Rat)	440
A7VJC2	reviewed	ROA2_RAT	Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1)	Hnrnpa2b1 Hnrnp Hnrpa2b1	Rattus norvegicus (Rat)	353
B0BNM1	reviewed	NNRE_RAT	NAD(P)H-hydrate epimerase (EC 5.1.99.6) (Apolipoprotein A-I-binding protein) (AI-BP) (NAD(P)HX epimerase)	Naxe Aibp Apoa1bp	Rattus norvegicus (Rat)	282
B1H234	reviewed	FLRT3_RAT	Leucine-rich repeat transmembrane protein FLRT3 (Fibronectin-like domain-containing leucine-rich transmembrane protein 3)	Flrt3	Rattus norvegicus (Rat)	649
B1WBV2	unreviewed	B1WBV2_RAT	Secreted frizzled-related protein 2	Sfrp2	Rattus norvegicus (Rat)	295
B5DF27	reviewed	LOXL2_RAT	Lysyl oxidase homolog 2 (EC 1.4.3.13) (Lysyl oxidase-like protein 2)	Loxl2	Rattus norvegicus (Rat)	776
B5DF94	reviewed	SRPX2_RAT	Sushi repeat-containing protein SRPX2	Srpx2	Rattus norvegicus (Rat)	466
C0HL12	reviewed	AGRB1_RAT	Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1) [Cleaved into: Vasculostatin-120 (Vstat120); Vasculostatin-40 (Vstat-40)]	Adgrb1 Bai1	Rattus norvegicus (Rat)	1577
D3Z9E1	unreviewed	D3Z9E1_RAT	Elastin microfibril interfacer 1	Emilin1	Rattus norvegicus (Rat)	1011
D3ZAB1	unreviewed	D3ZAB1_RAT	Lactotransferrin	Ltf	Rattus norvegicus (Rat)	709
D3ZAF5	unreviewed	D3ZAF5_RAT	Periostin	Postn	Rattus norvegicus (Rat)	810
D3ZCR1	unreviewed	D3ZCR1_RAT	Protein Wnt	Wnt3	Rattus norvegicus (Rat)	355
D3ZEP2	unreviewed	D3ZEP2_RAT	Norrin cystine knot growth factor NDP	Ndp	Rattus norvegicus (Rat)	131
D3ZFS0	unreviewed	D3ZFS0_RAT	Protein Wnt	Wnt9b	Rattus norvegicus (Rat)	359
D3ZGK9	unreviewed	D3ZGK9_RAT	Nodal growth differentiation factor	Nodal	Rattus norvegicus (Rat)	354
D3ZI84	unreviewed	D3ZI84_RAT	C-C motif chemokine	Ccl19	Rattus norvegicus (Rat)	108
D3ZN59	unreviewed	D3ZN59_RAT	High mobility group protein B2 (High mobility group protein 2)	Hmgb2l1 Hmgb2 Hmgb2-ps6 Hmgb2l2	Rattus norvegicus (Rat)	209
D3ZQN7	unreviewed	D3ZQN7_RAT	Laminin subunit beta 1	Lamb1	Rattus norvegicus (Rat)	1786
D3ZTE0	reviewed	FA12_RAT	Coagulation factor XII (EC 3.4.21.38) (Hageman factor) (HAF) [Cleaved into: Coagulation factor XIIa heavy chain; Coagulation factor XIIa light chain]	F12	Rattus norvegicus (Rat)	595
D3ZTT2	reviewed	LYPD6_RAT	Ly6/PLAUR domain-containing protein 6	Lypd6	Rattus norvegicus (Rat)	171
D3ZTV3	reviewed	FLRT2_RAT	Leucine-rich repeat transmembrane protein FLRT2 (Fibronectin-like domain-containing leucine-rich transmembrane protein 2)	Flrt2	Rattus norvegicus (Rat)	660
D3ZX17	unreviewed	D3ZX17_RAT	Triacylglycerol lipase (EC 3.1.1.3) (Pancreatic lipase)	Pnliprp2	Rattus norvegicus (Rat)	482
D3ZYK8	unreviewed	D3ZYK8_RAT	Matrix metalloproteinase-9 (EC 3.4.24.35) (92 kDa gelatinase) (92 kDa type IV collagenase) (Gelatinase B)	Mmp9	Rattus norvegicus (Rat)	708
D4A0T9	unreviewed	D4A0T9_RAT	ADAM metallopeptidase with thrombospondin type 1 motif, 13	Adamts13	Rattus norvegicus (Rat)	1425
D4A523	reviewed	NLRP3_RAT	NACHT, LRR and PYD domains-containing protein 3 (EC 3.6.4.-)	Nlrp3	Rattus norvegicus (Rat)	1035
D4A7P9	unreviewed	D4A7P9_RAT	Bone morphogenetic protein 5	Bmp5	Rattus norvegicus (Rat)	454
D4A9J2	unreviewed	D4A9J2_RAT	Protein Wnt	Wnt1	Rattus norvegicus (Rat)	370
D4AB34	reviewed	ERFE_RAT	Erythroferrone (Complement C1q tumor necrosis factor-related protein 15) (Myonectin)	Erfe C1qtnf15 Ctrp15 Fam132b	Rattus norvegicus (Rat)	341
E9PSM5	unreviewed	E9PSM5_RAT	72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Matrix metalloproteinase-2)	Mmp2	Rattus norvegicus (Rat)	663
E9PSP1	unreviewed	E9PSP1_RAT	Phospholipid transfer protein	Pltp	Rattus norvegicus (Rat)	496
E9PU71	unreviewed	E9PU71_RAT	Interleukin-12 subunit beta (IL-12B) (Cytotoxic lymphocyte maturation factor 40 kDa subunit) (IL-12 subunit p40)	Il12b IL12B	Rattus norvegicus (Rat)	335
F1LLX7	unreviewed	F1LLX7_RAT	Secreted frizzled-related protein 1	Sfrp1	Rattus norvegicus (Rat)	314
F1LM29	unreviewed	F1LM29_RAT	Reelin	Reln	Rattus norvegicus (Rat)	3462
F1LP42	unreviewed	F1LP42_RAT	Hedgehog protein	Ihh	Rattus norvegicus (Rat)	411
F1LSB2	unreviewed	F1LSB2_RAT	Angiopoietin 1	Angpt1	Rattus norvegicus (Rat)	498
F1LTJ5	unreviewed	F1LTJ5_RAT	Heparan sulfate proteoglycan 2	Hspg2	Rattus norvegicus (Rat)	2438
F1M077	unreviewed	F1M077_RAT	Protein Wnt	Wnt3a	Rattus norvegicus (Rat)	359
F1M656	unreviewed	F1M656_RAT	Tubby-like protein	Tulp3 LOC100364088	Rattus norvegicus (Rat)	463
F1M8K0	unreviewed	F1M8K0_RAT	Dystroglycan 1 (Dystroglycan) (Dystrophin-associated glycoprotein 1)	Dag1	Rattus norvegicus (Rat)	893
F1MAN8	unreviewed	F1MAN8_RAT	Laminin subunit alpha 5	Lama5	Rattus norvegicus (Rat)	3713
F7ETC0	unreviewed	F7ETC0_RAT	Sphingomyelin phosphodiesterase (EC 3.1.4.12)	Smpd1	Rattus norvegicus (Rat)	626
F8WFZ5	unreviewed	F8WFZ5_RAT	Insulin-like growth factor 1 (Insulin-like growth factor I)	Igf1	Rattus norvegicus (Rat)	159
G3V6B1	unreviewed	G3V6B1_RAT	Transforming growth factor beta	Tgfb2	Rattus norvegicus (Rat)	442
G3V6E2	unreviewed	G3V6E2_RAT	Phospholipase A2 (EC 3.1.1.4)	Pla2g10	Rattus norvegicus (Rat)	151
G3V6E8	unreviewed	G3V6E8_RAT	Myocilin (Trabecular meshwork-induced glucocorticoid response protein)	Myoc	Rattus norvegicus (Rat)	502
G3V6W8	unreviewed	G3V6W8_RAT	Bone morphogenetic protein 7	Bmp7	Rattus norvegicus (Rat)	430
G3V794	unreviewed	G3V794_RAT	Tumor necrosis factor ligand superfamily member	Tnfsf11	Rattus norvegicus (Rat)	318
G3V7M4	unreviewed	G3V7M4_RAT	Interleukin 17A	Il17a	Rattus norvegicus (Rat)	158
G3V801	reviewed	NETR_RAT	Neurotrypsin (EC 3.4.21.-) (Serine protease 12)	Prss12	Rattus norvegicus (Rat)	761
G3V819	unreviewed	G3V819_RAT	Protein Wnt	Wnt11	Rattus norvegicus (Rat)	354
G3V882	unreviewed	G3V882_RAT	Platelet-derived growth factor subunit B (PDGF-2) (Platelet-derived growth factor B chain) (Platelet-derived growth factor beta polypeptide)	Pdgfb	Rattus norvegicus (Rat)	246
G3V8D4	reviewed	APOC2_RAT	Apolipoprotein C-II (Apo-CII) (ApoC-II) (Apolipoprotein C2) [Cleaved into: Proapolipoprotein C-II (ProapoC-II)]	Apoc2	Rattus norvegicus (Rat)	97
G3V8W4	unreviewed	G3V8W4_RAT	Bone morphogenetic protein 2	Bmp2	Rattus norvegicus (Rat)	394
G3V8X8	unreviewed	G3V8X8_RAT	Noggin	Nog	Rattus norvegicus (Rat)	232
G3V9M6	unreviewed	G3V9M6_RAT	Fibrillin 1	Fbn1	Rattus norvegicus (Rat)	2872
G8JLS5	unreviewed	G8JLS5_RAT	Vascular permeability factor	Vegfa	Rattus norvegicus (Rat)	489
M0R609	unreviewed	M0R609_RAT	ADAM metallopeptidase with thrombospondin type 1 motif, 13	Adamts13	Rattus norvegicus (Rat)	1020
M0R8L2	reviewed	SPXN_RAT	Spexin (Liver regeneration-related protein LRRGT00060) (NPQ) (Neuropeptide Q) (Spexin hormone) [Cleaved into: Spexin-1; Spexin-2 (NPQ 53-70)]	SPX	Rattus norvegicus (Rat)	116
M0R9D3	unreviewed	M0R9D3_RAT	Protein Wnt	Wnt7a	Rattus norvegicus (Rat)	349
O08727	reviewed	TR11B_RAT	Tumor necrosis factor receptor superfamily member 11B (Osteoprotegerin)	Tnfrsf11b Opg	Rattus norvegicus (Rat)	401
O09175	reviewed	AMPB_RAT	Aminopeptidase B (AP-B) (EC 3.4.11.6) (Arginine aminopeptidase) (Arginyl aminopeptidase) (Cytosol aminopeptidase IV)	Rnpep	Rattus norvegicus (Rat)	650
O35078	reviewed	OXDA_RAT	D-amino-acid oxidase (DAAO) (DAMOX) (DAO) (EC 1.4.3.3)	Dao Dao1	Rattus norvegicus (Rat)	346
O35186	reviewed	CATK_RAT	Cathepsin K (EC 3.4.22.38)	Ctsk	Rattus norvegicus (Rat)	329
O35217	reviewed	MINP1_RAT	Multiple inositol polyphosphate phosphatase 1 (EC 3.1.3.62) (2,3-bisphosphoglycerate 3-phosphatase) (2,3-BPG phosphatase) (EC 3.1.3.80) (Inositol (1,3,4,5)-tetrakisphosphate 3-phosphatase) (Ins(1,3,4,5)P(4) 3-phosphatase)	Minpp1	Rattus norvegicus (Rat)	481
O35251	reviewed	VEGFD_RAT	Vascular endothelial growth factor D (VEGF-D) (c-Fos-induced growth factor) (FIGF)	Vegfd Figf	Rattus norvegicus (Rat)	326
O35312	reviewed	GDF8_RAT	Growth/differentiation factor 8 (GDF-8) (Myostatin)	Mstn Gdf8	Rattus norvegicus (Rat)	376
O35314	reviewed	SCG1_RAT	Secretogranin-1 (Chromogranin-B) (CgB) (Glucagonoma peptide) (Secretogranin-I) (SgI) [Cleaved into: PE-11; CCB peptide short form; CCB peptide long form]	Chgb	Rattus norvegicus (Rat)	675
O35460	reviewed	ANGP1_RAT	Angiopoietin-1 (ANG-1)	Angpt1	Rattus norvegicus (Rat)	497
O35462	reviewed	ANGP2_RAT	Angiopoietin-2 (ANG-2)	Angpt2 Agpt2	Rattus norvegicus (Rat)	496
O35485	reviewed	VEGFB_RAT	Vascular endothelial growth factor B (VEGF-B) (VEGF-related factor) (VRF)	Vegfb Vrf	Rattus norvegicus (Rat)	207
O35548	reviewed	MMP16_RAT	Matrix metalloproteinase-16 (MMP-16) (EC 3.4.24.-) (Membrane-type matrix metalloproteinase 3) (MT-MMP 3) (MTMMP3) (Membrane-type-3 matrix metalloproteinase) (MT3-MMP) (MT3MMP)	Mmp16	Rattus norvegicus (Rat)	607
O35568	reviewed	FBLN3_RAT	EGF-containing fibulin-like extracellular matrix protein 1 (Fibulin-3) (FIBL-3) (T16 protein)	Efemp1 Fbln3	Rattus norvegicus (Rat)	493
O35569	reviewed	NRG2_RAT	Pro-neuregulin-2, membrane-bound isoform (Pro-NRG2) [Cleaved into: Neuregulin-2 (NRG-2) (Neural- and thymus-derived activator for ERBB kinases) (NTAK)]	Nrg2 Ntak	Rattus norvegicus (Rat)	868
O35757	reviewed	VEGFC_RAT	Vascular endothelial growth factor C (VEGF-C) (Flt4 ligand) (Flt4-L) (Vascular endothelial growth factor-related protein) (VRP)	Vegfc	Rattus norvegicus (Rat)	415
O35783	reviewed	CALU_RAT	Calumenin (CBP-50) (Crocalbin)	Calu	Rattus norvegicus (Rat)	315
O35789	reviewed	B3GA1_RAT	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1 (EC 2.4.1.135) (Beta-1,3-glucuronyltransferase 1) (Glucuronosyltransferase P) (GlcAT-P) (UDP-GlcUA:glycoprotein beta-1,3-glucuronyltransferase) (GlcUAT-P)	B3gat1	Rattus norvegicus (Rat)	334
O35793	reviewed	GREM1_RAT	Gremlin-1 (Cysteine knot superfamily 1, BMP antagonist 1) (Down-regulated in Mos-transformed cells protein)	Grem1 Cktsf1b1 Drm	Rattus norvegicus (Rat)	184
O35796	reviewed	C1QBP_RAT	Complement component 1 Q subcomponent-binding protein, mitochondrial (GC1q-R protein) (Glycoprotein gC1qBP) (C1qBP)	C1qbp Gc1qbp	Rattus norvegicus (Rat)	279
O54766	reviewed	ZP1_RAT	Zona pellucida sperm-binding protein 1 (Zona pellucida glycoprotein 1) (Zp-1) [Cleaved into: Processed zona pellucida sperm-binding protein 1]	Zp1	Rattus norvegicus (Rat)	617
O54767	reviewed	ZP2_RAT	Zona pellucida sperm-binding protein 2 (Zona pellucida glycoprotein 2) (Zp-2) (Zona pellucida protein A) [Cleaved into: Processed zona pellucida sperm-binding protein 2]	Zp2 Zpa	Rattus norvegicus (Rat)	695
O55145	reviewed	X3CL1_RAT	Fractalkine (C-X3-C motif chemokine 1) (CX3C membrane-anchored chemokine) (Neurotactin) (Small-inducible cytokine D1) [Cleaved into: Processed fractalkine]	Cx3cl1 Acc1 Fkn Scyd1	Rattus norvegicus (Rat)	393
O70156	reviewed	OLR1_RAT	Oxidized low-density lipoprotein receptor 1 (Ox-LDL receptor 1) (Lectin-like oxidized LDL receptor 1) (LOX-1) (Lectin-like oxLDL receptor 1) (Lectin-type oxidized LDL receptor 1) [Cleaved into: Oxidized low-density lipoprotein receptor 1, soluble form]	Olr1 Lox1 Oldlr1	Rattus norvegicus (Rat)	364
O70595	reviewed	ABCB6_RAT	ATP-binding cassette sub-family B member 6 (ABC-type heme transporter ABCB6) (EC 7.6.2.5) (Ubiquitously-expressed mammalian ABC half transporter)	Abcb6 Umat	Rattus norvegicus (Rat)	836
O88182	reviewed	FGF18_RAT	Fibroblast growth factor 18 (FGF-18)	Fgf18	Rattus norvegicus (Rat)	207
O88279	reviewed	SLIT1_RAT	Slit homolog 1 protein (Slit-1) (Multiple epidermal growth factor-like domains protein 4) (Multiple EGF-like domains protein 4)	Slit1 Megf4	Rattus norvegicus (Rat)	1531
O88280	reviewed	SLIT3_RAT	Slit homolog 3 protein (Slit-3) (Multiple epidermal growth factor-like domains protein 5) (Multiple EGF-like domains protein 5)	Slit3 Megf5	Rattus norvegicus (Rat)	1523
O88450	reviewed	DEAF1_RAT	Deformed epidermal autoregulatory factor 1 homolog (Nuclear DEAF-1-related transcriptional regulator) (NUDR) (Suppressin)	Deaf1 Spn	Rattus norvegicus (Rat)	565
O88766	reviewed	MMP8_RAT	Neutrophil collagenase (EC 3.4.24.34) (Matrix metalloproteinase-8) (MMP-8)	Mmp8	Rattus norvegicus (Rat)	466
O88780	reviewed	KLK8_RAT	Kallikrein-8 (EC 3.4.21.118) (Brain serine protease 1) (Neuropsin) (NP) (Serine protease 19)	Klk8 Bsp1 Nrpn Prss19	Rattus norvegicus (Rat)	260
O88808	reviewed	TUB_RAT	Tubby protein homolog	Tub	Rattus norvegicus (Rat)	505
O89107	reviewed	DNSL3_RAT	Deoxyribonuclease gamma (DNase gamma) (EC 3.1.21.-) (DNaseY) (Deoxyribonuclease I-like 3) (DNase I-like 3)	Dnase1l3	Rattus norvegicus (Rat)	310
P00684	reviewed	RNS1B_RAT	Ribonuclease pancreatic beta-type (EC 4.6.1.18) (RL1) (RNase 1 gamma) (RNase A)	Rnase1 Rib-1 Rib1 Rns1	Rattus norvegicus (Rat)	152
P00697	reviewed	LYSC1_RAT	Lysozyme C-1 (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)	Lyz1 Lyz	Rattus norvegicus (Rat)	148
P00714	reviewed	LALBA_RAT	Alpha-lactalbumin (Lactose synthase B protein)	Lalba	Rattus norvegicus (Rat)	159
P00762	reviewed	TRY1_RAT	Serine protease 1 (EC 3.4.21.4) (Anionic trypsin I) (Anionic trypsin-1) (Beta-trypsin) (Cationic trypsinogen) (Pretrypsinogen I) (Trypsin I) (Trypsin-1)	Prss1 Trp1 Try1 Tryp1	Rattus norvegicus (Rat)	246
P00763	reviewed	TRY2_RAT	Anionic trypsin-2 (EC 3.4.21.4) (Anionic trypsin II) (Pretrypsinogen II) (Serine protease 2)	Prss2 Try2	Rattus norvegicus (Rat)	246
